iter	RMSE
0	29.2363993
1	29.15916256
2	29.09787861
3	29.01428766
4	28.96857937
5	28.86860175
6	28.81456044
7	28.76741746
8	28.71190375
9	28.64761209
10	28.58270208
11	28.52225186
12	28.4546533
13	28.42682588
14	28.36435789
15	28.28572912
16	28.22332653
17	28.16979726
18	28.12160898
19	28.04482654
20	27.98828528
21	27.91659274
22	27.88271532
23	27.81855871
24	27.7731812
25	27.72634499
26	27.6889635
27	27.62094207
28	27.56589515
29	27.53561311
30	27.48743721
31	27.44368369
32	27.39020652
33	27.34238878
34	27.29285871
35	27.24484247
36	27.17813704
37	27.13840465
38	27.1136929
39	27.08723049
40	27.04201381
41	26.99410188
42	26.96554699
43	26.91163078
44	26.87842731
45	26.83831571
46	26.80408181
47	26.74890507
48	26.70541903
49	26.6524425
50	26.57806377
51	26.52846496
52	26.4690583
53	26.43824446
54	26.37946588
55	26.33111653
56	26.28374251
57	26.25444106
58	26.20581495
59	26.17909423
60	26.1187341
61	26.08968541
62	26.04878855
63	26.01697385
64	25.95937434
65	25.93008345
66	25.91691849
67	25.8605323
68	25.80721589
69	25.74795481
70	25.70558565
71	25.64882332
72	25.60968249
73	25.57766664
74	25.53529028
75	25.50034226
76	25.49726024
77	25.46695689
78	25.46694912
79	25.42456623
80	25.39164964
81	25.36264351
82	25.31862821
83	25.29490198
84	25.25662962
85	25.20565722
86	25.14285199
87	25.10644734
88	25.05758597
89	25.01172047
90	24.9908307
91	24.93555203
92	24.88273714
93	24.83247989
94	24.79783325
95	24.77410634
96	24.74048238
97	24.69443184
98	24.66196745
99	24.66196176
100	24.63211497
101	24.581066
102	24.52714236
103	24.48833778
104	24.45923121
105	24.42223936
106	24.34345077
107	24.3069709
108	24.29822169
109	24.26569109
110	24.23633645
111	24.22599777
112	24.20304665
113	24.16382838
114	24.13648299
115	24.11358975
116	24.08130674
117	24.07819526
118	24.06118345
119	24.00240373
120	23.99838488
121	23.96936028
122	23.9188061
123	23.87006655
124	23.82727925
125	23.79251474
126	23.75590794
127	23.69257644
128	23.65414771
129	23.61905157
130	23.60164131
131	23.53879182
132	23.51107487
133	23.47332877
134	23.44271737
135	23.41458013
136	23.38215144
137	23.3404472
138	23.2994101
139	23.25806572
140	23.23234405
141	23.17611087
142	23.12954658
143	23.10388005
144	23.06538158
145	23.02896603
146	22.99478125
147	22.9703788
148	22.94263792
149	22.91396811
150	22.86423048
151	22.82159102
152	22.76535701
153	22.71264465
154	22.6617401
155	22.6414323
156	22.61150406
157	22.58501017
158	22.55585159
159	22.51425781
160	22.49869844
161	22.48258733
162	22.43133273
163	22.37830712
164	22.34306131
165	22.31159893
166	22.2961327
167	22.27621831
168	22.2488726
169	22.21427427
170	22.18492721
171	22.15778636
172	22.13397022
173	22.08994442
174	22.05315516
175	22.02067163
176	21.97984366
177	21.9604485
178	21.90065605
179	21.8853788
180	21.86271924
181	21.84622354
182	21.81314922
183	21.76239304
184	21.7343696
185	21.69244702
186	21.65960536
187	21.63883161
188	21.61843
189	21.58868459
190	21.56544993
191	21.52996696
192	21.49401161
193	21.46654486
194	21.44363999
195	21.41443876
196	21.38810911
197	21.37315873
198	21.3296164
199	21.30546242
200	21.28126595
201	21.26501513
202	21.23446092
203	21.21747696
204	21.19752286
205	21.17359657
206	21.1542732
207	21.12305061
208	21.07464182
209	21.03884761
210	21.01475078
211	20.98391915
212	20.96381605
213	20.95245618
214	20.92536162
215	20.89680747
216	20.85565829
217	20.84062286
218	20.8279017
219	20.79372492
220	20.75344038
221	20.71186193
222	20.6919165
223	20.67913386
224	20.63504611
225	20.61134894
226	20.58510248
227	20.56718168
228	20.54212576
229	20.53027036
230	20.51500423
231	20.46709358
232	20.44521225
233	20.42802721
234	20.41518972
235	20.39357538
236	20.35447716
237	20.32934178
238	20.31216872
239	20.29949194
240	20.288538
241	20.25345053
242	20.2197106
243	20.21418257
244	20.19784966
245	20.19110809
246	20.16776632
247	20.14182001
248	20.11292591
